0,0,0,0,0,0,0,0,0,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01
0,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,I_00,1,W_02
W_02,W_02,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_01,W_01,1,1,1,1,1,1,M_1106,1,1,1,M_1108,I_01,1,1,1,W_02,W_02,1,1,1,11,1,1,1,W_01
W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,1,1,1,I_03,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,W_01,W_01,W_01,1,W_02,W_01,W_02,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,1,15,1,1,1,1,1,W_02
W_01,W_02,W_02,W_02,1,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_02,1,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,1,W_01,W_02,W_02,W_02
W_01,W_01,W_02,W_01,1,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,1,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_02,M_1104,W_02,W_01,W_01,W_01
W_01,W_01,W_02,W_01,4,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,3,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_02,1,W_01,W_02,W_02,W_01
W_01,W_01,I_02,1,1,1,1,W_01,W_02,W_01,W_02,W_02,W_01,1,W_01,W_01,W_02,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,W_02,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,M_1107,1,W_02
W_01,W_01,1,1,1,1,1,W_01,W_01,W_02,1,1,1,1,1,1,1,M_1105,1,1,1,1,1,1,1,1,W_02
W_01,W_01,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,W_01,1,1,1,1,1,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,1,1,1,1,1,1,1,W_01
W_01,W_02,W_01,W_02,1,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01
W_02,W_01,W_02,W_02,1,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,I_09,W_02,W_01,W_02,W_02,W_01,W_02
W_02,W_01,W_02,W_01,1,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,5,W_01,W_02,W_01,W_01,W_01,W_02
W_02,I_03,1,1,1,1,1,1,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,1,1,1,1,1,W_02,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,W_02,W_01
W_01,1,1,1,I_04,1,1,1,8,1,1,1,1,1,1,1,1,1,1,I_11,1,1,1,1,1,W_01,W_02
W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02,W_01,W_01,1,I_03,1,1,1,W_01,W_01
W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,1,1,1,1,14,W_01,W_02
W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01
