0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_02
W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,I_04,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,I_01,1,1,1,7,1,1,I_03,1,1,1,1,1,1,1,1,1,1,1,1,1,W_01
W_01,1,1,1,I_03,1,1,1,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,I_02,1,1,1,1,1,1,W_01
W_01,W_02,W_01,W_02,1,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,1,1,1,1,1,1,1,W_02
W_01,W_02,W_02,W_02,1,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,5,W_02,W_02,W_01,W_02
W_02,W_01,W_02,W_01,1,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_02,1,W_02,W_02,W_02,W_01
W_02,W_02,I_03,W_02,M_1146,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,1,W_01,W_01,W_02,W_02
W_01,W_01,M_1147,W_02,1,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_02,1,W_02,W_02,W_01,W_01
W_02,W_01,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_01,W_02
W_01,W_02,1,1,M_1148,1,1,W_01,W_01,W_01,1,1,1,11,1,1,1,W_02,W_02,W_02,1,1,1,1,1,W_02,W_02
W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,15,W_02,W_02,W_01,1,1,1,1,1,W_01,W_01
W_01,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,M_1144,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,1,W_02,W_02,W_01,W_02
W_02,W_02,W_02,W_01,1,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,1,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,1,W_02,W_02,W_02,W_02
W_02,W_01,W_01,W_02,1,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,1,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_02,W_01
W_02,W_02,W_02,W_02,3,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_02,1,W_02,W_02,W_01,W_02
W_01,W_01,W_02,W_02,1,W_01,W_02,W_01,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,W_01,W_02,W_02,I_10,W_02,W_01,W_02,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,W_02,1,I_00,1,1,1,W_01,W_02,W_02,W_01,1,1,1,1,1,W_02,W_02
W_02,1,1,1,1,1,1,1,M_1145,1,1,1,1,1,1,1,W_02,W_02,W_02,W_01,1,1,1,1,1,W_01,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,W_02,W_02,W_02,W_01,1,I_03,1,14,1,W_02,W_01
W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,1,1,1,1,1,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_02
W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02
