0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01
0,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,1,1,I_01,1,1,W_02,W_02,W_01,W_01,1,1,1,1,1,W_01,W_02
W_02,W_01,1,1,1,1,1,W_02,W_01,W_02,W_01,1,1,1,1,1,W_01,W_01,W_02,W_01,1,1,1,15,1,W_01,W_02
W_01,W_01,1,1,1,1,1,1,1,1,M_1114,1,1,1,1,1,W_01,W_02,W_02,W_01,1,I_00,11,1,1,W_02,W_02
W_01,W_02,1,1,1,1,1,W_01,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,W_02,1,1,1,1,1,W_01,W_02
W_02,W_02,W_02,W_02,1,W_01,W_01,W_01,W_02,W_02,W_02,1,I_03,1,M_1116,1,W_02,W_01,W_01,W_02,1,1,1,1,1,W_01,W_02
W_01,W_02,W_01,W_01,1,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,1,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,M_1112,W_02,W_02,W_01,W_01
W_01,W_02,W_01,W_01,1,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,1,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01
W_01,W_02,W_01,W_01,4,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,1,W_01,W_01,W_01,W_01
W_01,W_02,W_02,W_01,1,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,3,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_02,1,W_02,W_01,W_01,W_02
W_02,W_01,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,W_01,W_02
W_02,W_01,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,1,1,M_1113,1,1,1,1,1,W_01,W_02
W_02,W_02,1,1,1,1,1,W_02,W_02,W_01,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01
W_02,W_02,W_01,W_02,1,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02
W_02,W_01,W_02,W_02,1,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02
W_01,W_02,W_02,W_01,1,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01
W_01,W_02,W_02,W_01,1,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,I_03,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02
W_01,W_01,1,I_03,1,1,1,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,M_1115,W_02,W_02,W_01,W_01,1,1,1,1,1,W_02,W_02
W_02,W_01,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,W_01,W_01
W_02,W_02,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,I_09,1,1,I_03,1,1,W_01,W_01
W_01,W_02,1,1,1,1,I_02,W_02,W_02,W_01,1,1,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,W_01,W_01
W_01,W_02,1,1,1,1,1,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_01,1,1,1,1,14,W_02,W_02
W_01,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02
