0,0,0,0,0,0,0,0,0,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01
0,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,1,1,1,W_02,W_02
W_01,W_02,1,1,1,1,I_03,W_02,W_02,W_02,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_02,W_01
W_02,W_01,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,M_1768,1,1,1,1,11,1,1,W_02,W_02
W_01,W_02,1,1,1,1,14,W_01,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,1,1,1,W_01,W_01
W_02,W_02,W_01,W_02,I_10,W_02,W_02,W_02,W_02,W_02,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,15,1,W_01,W_02
W_01,W_01,W_01,W_02,1,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,1,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02
W_01,W_01,W_01,W_02,1,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,1,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01
W_01,W_01,W_01,W_02,1,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,1,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01
W_01,W_02,1,1,1,1,1,W_01,W_02,W_02,W_01,W_02,W_02,M_1769,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02
W_01,W_01,1,1,1,1,1,W_02,W_01,W_02,W_02,1,1,1,I_00,1,W_02,W_01,W_02,W_01,I_01,1,1,1,1,W_02,W_02
W_02,W_02,1,1,1,1,1,W_02,W_01,W_02,W_02,1,1,1,1,1,1,1,6,1,1,1,1,1,1,W_01,W_02
W_01,W_02,1,1,1,1,1,W_02,W_02,W_01,W_01,1,1,1,1,1,W_01,W_02,W_01,W_01,1,1,1,1,1,W_02,W_01
W_01,W_01,1,1,1,1,1,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_01,1,W_01,W_02,W_01,W_02
W_02,W_01,W_02,W_01,1,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,1,W_02,W_02,W_01,W_01
W_01,W_01,W_01,W_02,1,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_02,1,W_02,W_01,W_02,W_02
W_02,W_01,W_01,W_01,5,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,I_00,W_02,W_02,W_01,W_01,W_01,W_02,M_1770,W_02,W_01,W_01,W_02
W_01,W_01,W_02,W_02,1,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,M_1771,W_02,W_01,W_02,1,1,1,1,I_03,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_02,W_01,I_02,1,1,1,1,W_02,W_01,W_01,1,1,1,M_1772,1,1,1,W_01
W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02
W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01
