0,0,0,0,0,0,W_02,I_03,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01
W_02,W_01,W_02,W_01,W_01,W_01,W_01,M_1083,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,1,1,1,1,I_03,W_02,W_02
W_01,1,1,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,W_02,W_01,W_02,W_01,1,1,1,1,1,W_02,W_01
W_02,1,1,1,1,1,1,1,1,1,6,1,1,I_03,1,1,W_01,W_01,W_02,W_02,1,1,1,1,1,W_02,W_02
W_01,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,M_1084,1,1,W_02,W_01,W_01,W_01,1,1,1,1,1,W_02,W_01
W_02,W_01,W_01,W_01,1,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,1,W_01,W_02,W_01,W_01,W_01,W_02,14,1,1,1,1,W_02,W_02
W_01,W_02,W_02,W_02,1,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,1,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_01,I_11,W_01,W_02,W_02,W_01
W_02,W_02,W_02,W_02,1,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_01,1,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,1,W_01,W_02,W_02,W_01
W_02,W_01,W_01,W_02,1,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,M_1082,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,1,W_02,W_02,W_02,W_01
W_01,W_01,W_01,W_02,M_1081,W_02,W_01,W_01,W_02,W_01,W_02,I_01,1,1,1,1,W_01,W_01,W_01,W_02,1,1,1,1,1,W_01,W_02
W_02,1,1,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,W_01,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02
W_02,1,1,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,W_01,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02
W_02,1,1,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,W_02,W_01,W_01,W_01,1,1,1,1,1,W_02,W_01
W_02,W_02,W_02,W_02,1,W_01,W_02,W_02,W_02,W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,W_02,1,1,1,1,1,W_01,W_01
W_01,W_01,W_01,W_01,1,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,4,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_01,1,W_02,W_02,W_02,W_02
W_01,W_01,W_02,W_02,1,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,5,W_01,W_01,W_01,W_02
W_01,W_02,W_02,W_01,M_1080,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,1,W_02,W_01,W_02,W_01
W_01,W_02,W_01,W_02,1,W_01,W_02,W_01,W_02,W_02,W_02,1,1,1,1,1,W_02,W_01,W_01,W_02,W_01,W_01,1,W_02,W_01,W_02,W_02
W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,W_01,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,1,1,W_02
W_02,W_02,1,I_00,11,1,1,W_01,W_02,W_01,W_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_01
W_01,W_02,1,1,1,1,15,W_01,W_02,W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,1,1,I_02,1,I_03,1,1,W_01
W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01
W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_01
