0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03
W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03,W_03,W_03,1,1,1,1,1,W_01,W_03
W_01,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_03,W_01,W_03,W_03,1,1,1,1,1,W_03,W_03
W_03,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,W_01,W_01,W_03,W_01,1,1,11,1,1,W_01,W_01
W_03,I_02,1,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01,W_03,W_03,1,1,1,15,1,W_03,W_01
W_03,W_03,W_03,W_01,1,W_01,W_01,W_03,W_01,W_01,W_03,1,1,1,1,1,W_03,W_01,W_03,W_03,1,1,1,1,1,W_03,W_01
W_01,W_01,W_03,W_01,1,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,1,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_01,M_1512,W_01,W_01,W_01,W_01
W_03,W_03,W_03,W_03,1,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,1,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_01,1,W_01,W_03,W_01,W_03
W_01,W_03,W_03,W_01,1,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_01,1,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_03,1,W_01,W_01,W_03,W_01
W_01,W_01,W_01,W_03,1,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,I_11,W_03,W_01,W_03,W_03,W_03,1,1,1,1,1,1,1,W_03
W_03,W_03,1,1,1,1,1,W_01,W_01,W_03,W_03,1,1,1,14,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,W_01,1,1,1,1,1,W_01,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,W_03,1,1,1,I_03,1,W_03,W_01,W_01,W_03,I_03,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,W_01,W_01,1,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03
W_01,W_01,W_03,W_03,1,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_03,M_1513,W_01,W_03,W_03,W_01
W_03,I_02,W_03,W_03,1,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_01,1,W_01,W_01,W_03,W_03
W_01,M_1515,W_01,W_01,4,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,1,W_03,W_03,W_03,W_01
W_03,1,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,W_01,W_03,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,M_1516,W_01,W_01,W_01,1,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,I_03,1,1,1,1,1,M_1514,1,1,1,1,1,1,6,1,1,1,1,1,1,1,I_00,1,W_03
W_03,1,1,1,1,1,I_01,1,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03
W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_03
