0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_01
W_02,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_02,W_02,W_01,W_02,1,1,1,1,1,W_01,W_01
W_01,1,1,1,1,1,1,1,1,1,M_1666,1,1,I_03,1,1,6,1,1,1,1,1,1,1,1,W_02,W_02
W_01,M_1668,1,1,1,I_01,1,1,W_01,W_01,W_01,1,1,1,1,1,W_02,W_01,W_02,W_02,1,1,1,1,1,W_02,W_01
W_01,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_01,1,W_01,W_02,W_01,W_02
W_01,W_01,W_02,W_01,1,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,1,W_01,W_02,W_02,W_02
W_02,W_02,W_02,W_02,1,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,M_1665,W_01,W_02,W_02,W_02
W_02,W_02,W_02,W_01,1,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,1,W_02,W_02,W_02,W_02
W_02,W_02,W_01,W_01,4,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,1,W_02,W_01,W_01,W_01
W_01,W_02,1,1,1,1,I_03,W_01,W_01,W_02,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_02,W_02
W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,1,1,1,11,1,1,I_00,1,M_1664,1,1,1,1,1,1,W_01,W_02
W_01,W_01,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,15,1,W_01,W_02,W_02,1,1,1,1,1,W_02,W_01
W_02,W_02,W_02,W_02,1,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_01
W_02,W_01,W_01,W_02,1,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02
W_02,W_01,W_01,W_01,1,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01
W_02,W_01,W_01,W_01,1,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01
W_02,W_02,W_02,W_02,1,W_01,W_02,W_01,W_02,W_02,1,1,1,1,1,1,1,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01
W_02,W_02,1,I_04,1,I_02,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_01,W_01,W_02,1,1,1,1,1,W_01,W_01
W_01,W_01,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,I_09,1,I_03,1,1,1,W_01,W_02
W_02,W_02,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,1,1,W_02,W_02,W_01,14,1,1,1,1,W_02,W_01
W_01,W_01,W_01,W_01,W_01,M_1667,W_01,W_01,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01
W_01,W_02,W_01,W_02,W_02,I_03,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01
