0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_03,W_03
W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,W_03,W_03,W_03,W_03,1,1,1,1,1,W_03,W_03
W_03,1,1,1,11,1,1,1,W_01,W_01,W_01,1,1,1,1,1,8,1,1,1,1,1,I_02,1,1,W_01,W_03
W_03,1,1,1,1,1,1,15,W_01,W_03,W_01,1,1,1,1,1,W_03,W_01,W_01,W_01,1,1,1,1,1,W_01,W_01
W_03,W_03,W_03,W_01,1,W_03,W_01,W_03,W_01,W_03,W_03,1,1,1,1,1,W_01,W_03,W_01,W_03,W_01,W_01,1,W_03,W_01,W_03,W_03
W_01,W_01,W_01,W_03,1,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,1,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_01,1,W_01,W_03,W_03,W_03
W_03,W_01,W_01,W_03,1,W_03,W_01,W_01,W_01,W_01,W_03,I_09,W_01,1,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03,1,W_01,W_01,W_03,W_03
W_03,W_01,W_03,W_01,M_1488,W_01,W_01,W_01,W_01,W_03,W_03,5,W_03,I_11,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_03,1,W_03,W_01,W_03,W_03
W_01,W_01,W_01,W_01,1,W_03,W_03,W_01,W_03,W_01,W_03,1,1,1,1,1,W_03,W_01,W_03,W_01,W_01,W_03,1,W_03,W_01,W_01,W_03
W_01,W_01,1,1,I_00,1,1,W_03,W_01,W_01,W_03,I_03,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,1,1,1,1,1,W_01,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,1,1,1,1,1,W_03,W_03,W_03,W_03,14,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,W_03,W_01,W_01,M_1489,W_01,W_01,W_03,W_03,W_03,W_03,1,1,1,1,1,W_03,W_03,W_01,W_03,W_03,W_03,4,W_03,W_03,W_03,W_03
W_01,W_01,W_03,W_03,1,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03,1,W_01,W_03,W_01,W_03
W_03,W_01,W_03,W_03,1,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,1,W_01,W_01,W_03,W_03
W_03,W_03,W_03,W_01,1,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_03,1,W_03,W_03,W_01,W_03
W_01,M_1491,1,1,1,1,1,1,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_03,1,1,1,1,1,W_03,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,W_03,W_03,W_03,W_03,1,1,I_01,1,1,W_03,W_01
W_01,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,M_1490,1,1,1,I_03,1,1,1,M_1492,W_03,W_01
W_03,1,1,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,W_03,W_03,W_01,W_01,1,1,1,1,1,W_03,W_03
W_03,1,1,1,1,1,1,1,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03
W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01
