0,0,0,0,0,0,0,0,0,0,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02
0,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01
W_02,W_01,1,I_02,1,1,1,W_01,W_01,W_01,W_02,1,1,1,1,I_03,W_01,W_02,W_02,W_01,1,15,1,1,1,W_01,W_01
W_02,W_02,1,1,1,1,1,1,1,1,8,1,1,1,1,1,W_01,W_02,W_01,W_02,1,1,11,1,1,W_01,W_02
W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,W_01,1,1,1,1,1,W_02,W_01
W_02,W_01,W_02,W_01,1,W_01,W_02,W_02,W_02,W_01,W_01,1,1,1,1,1,W_02,W_01,W_01,W_02,W_01,W_02,1,W_02,W_02,W_01,W_02
W_01,W_01,W_01,W_02,1,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,1,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,1,W_02,W_01,W_02,W_02
W_01,W_01,W_01,W_01,1,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,1,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,M_1128,W_02,W_02,W_01,W_02
W_02,W_01,W_02,W_01,1,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,I_11,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,1,W_02,W_02,W_02,W_01
W_02,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,W_01,I_00,1,1,1,1,W_01,W_02
W_01,1,1,1,1,1,1,1,W_01,W_01,W_02,1,1,1,1,1,W_01,W_01,W_02,W_02,1,1,1,1,1,W_02,W_02
W_01,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,1,1,1,W_02,W_02,W_02,W_01,1,1,1,1,1,W_02,W_02
W_02,1,1,1,1,1,1,1,W_02,W_01,W_02,1,14,1,1,1,W_02,W_01,W_01,W_02,1,1,1,1,1,W_01,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02
W_02,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_02
W_01,W_02,W_01,W_01,4,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_02,M_1129,W_02,W_02,W_02,W_01
W_01,W_01,W_01,W_02,1,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,I_03,W_02,W_01,W_01,W_02,W_02,W_01,W_01,1,W_02,W_01,W_01,W_02
W_02,1,1,1,1,1,1,1,W_02,W_01,W_02,W_01,W_02,W_01,M_1131,W_01,W_01,W_01,W_01,W_01,W_01,W_02,1,W_02,W_01,W_01,W_02
W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,I_03,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_01,W_02
W_02,1,1,1,I_01,1,1,1,M_1130,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,W_02,W_02
W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,M_1132,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,W_02,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01
W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02
