W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02
W_02,15,1,11,W_01,1,1,1,1,1,W_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I_01,W_01
W_02,1,W_01,W_01,W_01,1,W_02,1,W_01,W_02,W_01,1,W_02,W_01,W_01,W_01,W_01,1,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01
W_02,M_1648,1,1,W_02,1,W_01,1,1,1,W_01,M_1650,1,M_1649,3,1,W_01,1,1,1,W_01,1,1,1,1,1,W_02
W_01,W_02,W_02,1,W_02,1,W_02,W_02,W_02,1,W_02,W_01,W_01,W_01,W_01,1,W_02,W_01,W_02,1,W_02,1,W_01,W_02,W_01,1,W_02
W_02,1,1,1,W_01,1,1,1,W_02,1,1,1,1,1,W_02,1,W_02,1,W_02,1,W_01,1,W_01,I_03,W_02,1,W_02
W_01,1,W_02,W_02,W_01,W_01,W_02,1,W_01,W_02,W_01,W_02,W_02,1,W_02,1,W_01,1,W_02,1,W_01,1,W_01,1,W_02,1,W_02
W_02,1,1,1,1,1,1,1,1,1,1,I_00,W_01,1,1,1,1,1,W_02,1,W_01,1,W_01,1,W_01,1,W_02
W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_02,1,W_02,1,W_02,1,W_02,1,W_02
W_01,M_1652,1,M_1651,4,1,1,1,W_02,1,1,1,W_02,1,1,1,1,1,1,1,W_02,1,W_01,1,1,1,W_01
W_02,1,W_01,W_01,W_02,W_01,W_01,1,W_01,1,W_02,1,W_01,1,W_02,W_01,W_01,W_02,W_01,W_02,W_01,1,W_01,1,W_01,W_02,W_02
W_02,1,1,1,1,1,W_02,1,1,1,W_01,1,W_01,1,W_01,14,1,1,W_02,1,1,1,W_01,1,1,1,W_01
W_01,1,W_02,W_01,W_02,1,W_01,W_02,W_02,W_02,W_02,1,W_02,1,W_01,W_01,W_01,1,W_02,1,W_02,W_02,W_01,W_02,W_01,1,W_02
W_02,1,1,1,W_01,1,1,1,W_02,1,1,1,1,1,W_02,1,W_01,1,1,1,W_02,1,1,1,W_02,1,W_02
W_02,W_01,W_02,1,W_02,W_01,W_01,1,W_01,W_02,W_02,W_02,W_02,1,W_02,1,W_01,W_02,W_01,W_02,W_01,1,W_02,1,W_02,1,W_02
W_01,1,1,1,W_02,1,1,1,W_02,1,1,1,W_01,1,W_01,1,1,1,1,1,1,1,W_01,1,W_01,1,W_01
W_02,1,W_01,W_01,W_01,1,W_02,W_02,W_02,1,W_01,1,W_02,1,W_01,W_02,W_01,W_02,W_01,1,W_02,W_01,W_01,1,W_02,1,W_02
W_01,1,1,1,W_02,1,W_01,1,1,1,W_01,1,W_02,I_03,1,1,1,1,1,1,W_02,1,1,1,W_01,1,W_01
W_01,W_01,W_01,1,W_01,1,W_02,1,W_02,W_02,W_01,1,W_01,W_02,W_02,W_02,W_02,1,W_02,W_01,W_02,W_02,W_01,W_02,W_01,1,W_01
W_02,1,1,1,W_02,1,1,1,W_02,I_02,W_01,1,1,1,1,1,W_01,1,W_02,1,5,1,1,1,1,1,W_02
W_02,1,W_02,W_01,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_02,W_01,W_02,1,W_02,W_01,W_01,1,W_01,W_02,W_01,W_02,W_01,W_02,W_02
W_02,1,1,1,1,1,1,1,1,1,1,1,1,1,W_02,1,1,1,1,1,1,I_03,1,1,1,1,W_01
W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_02
