0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02
W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,I_02,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_02,14,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,I_09,1,1,1,I_03,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02
W_02,W_01,W_01,W_02,1,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,W_02,W_02,W_01,1,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02
W_01,W_02,W_01,W_02,1,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01
W_01,W_02,W_01,W_01,1,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02
W_02,W_02,W_02,W_01,1,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01
W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,W_02,1,1,1,1,1,W_02,W_01,W_02,W_02,1,1,1,1,1,W_01,W_01
W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,W_01,1,1,1,1,1,1,1,M_1065,1,1,1,1,1,1,W_01,W_01
W_01,W_02,1,1,I_04,I_03,1,W_02,W_01,W_02,W_02,1,1,1,1,1,W_02,W_02,W_01,W_01,1,1,1,1,1,W_02,W_01
W_01,W_01,W_01,W_01,1,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,1,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,1,W_01,W_02,W_01,W_01
W_02,W_01,W_01,W_01,1,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,1,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,1,W_02,W_01,W_01,W_02
W_02,W_01,W_02,W_01,1,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,1,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,1,W_02,W_01,W_01,W_01
W_02,W_02,W_02,W_02,4,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_02,1,W_02,W_02,I_01,W_01,W_01,W_01,W_02,W_02,M_1064,W_01,W_02,W_01,W_02
W_02,W_01,1,1,I_03,1,1,W_02,W_01,W_02,W_01,W_02,W_01,3,W_02,W_01,M_1067,W_01,W_02,W_01,W_02,W_02,1,W_01,W_02,W_01,W_02
W_02,W_02,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,W_02,W_01
W_01,W_02,1,1,1,1,1,1,M_1066,1,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,11,I_00,1,W_02,W_01
W_02,W_02,1,1,1,1,M_1068,W_02,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,W_02,15,1,1,1,1,W_01,W_02
W_01,W_01,1,1,1,1,I_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01
W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02
