0,0,0,0,0,0,0,0,0,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01
0,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_01
W_01,W_03,1,1,1,1,1,W_01,W_03,W_03,1,1,1,M_1636,1,1,I_01,W_01,W_01,W_03,1,1,1,1,1,W_01,W_03
W_01,W_01,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,M_1634,1,1,1,1,1,1,W_01,W_03
W_03,W_03,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,1,1,W_01,W_01,W_03,1,1,1,I_03,1,W_01,W_03
W_01,W_01,W_03,W_01,1,W_01,W_03,W_01,W_03,W_01,1,1,1,1,1,1,1,W_03,W_03,W_01,W_01,W_01,1,W_03,W_03,W_03,W_01
W_01,W_01,W_01,W_03,1,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,1,W_01,W_01,W_01,W_01
W_03,W_03,W_03,W_01,1,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01,4,W_03,W_01,W_03,W_03
W_01,W_01,W_01,W_01,M_1633,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,I_09,W_01,W_03,W_03,W_01,W_01,W_01,1,W_03,W_01,W_03,W_03
W_01,1,1,1,1,1,1,1,W_01,W_01,W_03,W_03,W_01,W_03,W_03,3,W_03,W_01,W_01,W_03,W_01,W_01,1,W_01,W_03,W_01,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,W_01,1,14,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,I_00,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,I_03,1,W_03,W_03,W_01,1,1,1,1,1,1,I_02,W_01
W_01,1,1,M_1635,1,1,1,1,W_03,W_03,W_01,W_03,W_03,I_11,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01,1,W_01,W_03,W_01,W_03
W_01,W_03,W_01,W_01,1,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,1,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_01,1,W_01,W_03,W_03,W_03
W_01,W_01,W_01,W_03,1,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_03,1,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,1,W_03,W_01,W_01,W_03
W_01,W_01,W_01,W_03,M_1632,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,1,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_03,1,W_03,W_03,W_03,W_03
W_03,W_03,W_01,W_03,1,W_01,W_03,W_03,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,1,1,1,1,1,W_03,W_03,W_01,W_01,1,1,1,1,1,W_03,W_01,W_01,1,1,1,1,I_03,1,1,W_03
W_01,W_01,1,1,11,1,1,W_01,W_01,W_01,W_01,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,W_01
W_01,W_03,15,1,1,1,1,W_01,W_01,W_01,W_03,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_01
W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_01,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_01
