0,0,0,0,0,0,0,0,0,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_01
0,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,M_1740,1,1,1,1,1,1,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02
W_01,W_01,1,1,I_03,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,I_03,6,1,1,1,1,1,1,1,1,W_01
W_01,W_01,1,14,1,1,1,W_02,W_02,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02
W_02,W_01,W_02,W_02,I_09,W_02,W_01,W_01,W_01,W_02,1,1,1,1,I_01,1,1,W_01,W_01,W_01,W_02,W_01,M_1737,W_01,W_02,W_01,W_01
W_02,W_01,W_02,W_02,1,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,M_1738,W_01,M_1739,W_02,W_02,W_02,W_02,W_02,W_01,1,W_02,W_01,W_02,W_02
W_02,W_01,W_01,W_01,1,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,1,W_01,I_03,W_02,W_01,W_02,W_02,W_01,W_02,1,W_01,W_02,W_02,W_02
W_02,W_02,W_02,W_01,1,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,1,W_01,W_01,W_01,W_02
W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,W_01,W_02,W_02,1,W_02,W_02,W_02,W_01,W_02,1,1,1,1,1,1,1,W_02
W_01,W_01,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_02,W_01,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_02,W_02,1,1,1,1,1,W_01,W_02,W_02,W_02,W_01,W_01,4,W_01,W_02,W_01,W_02,W_01,1,1,1,1,1,1,1,W_02
W_02,W_02,W_01,W_02,1,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,1,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,M_1736,W_01,W_01,W_01,W_02
W_02,W_01,W_01,W_01,5,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,1,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,1,W_01,W_01,W_01,W_02
W_02,W_01,W_01,W_02,1,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,1,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,1,W_01,W_02,W_01,W_01
W_02,1,1,1,1,1,1,1,W_01,W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,W_02,W_02,W_01,1,W_02,W_02,W_01,W_02
W_01,1,1,1,I_02,1,1,1,W_01,W_01,W_02,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,11,1,I_00,1,W_01
W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,W_02,W_01,W_02,15,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,W_02,1,1,I_03,1,1,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02
W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_02
