0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_03
W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03
W_01,I_03,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_01,W_01,W_03,W_01,1,1,1,1,14,W_03,W_01
W_01,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,I_10,1,1,1,1,1,W_01,W_03
W_01,1,1,1,1,1,I_02,1,W_03,W_01,W_03,I_03,1,1,1,1,W_03,W_01,W_03,W_03,1,1,1,1,1,W_03,W_03
W_01,W_03,W_03,W_01,1,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01
W_03,W_03,W_03,W_01,1,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_01
W_03,W_01,W_01,W_03,1,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01
W_03,W_03,W_01,W_01,1,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01
W_03,1,1,1,1,1,1,1,W_01,W_03,W_03,1,15,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,11,1,1,1,1,M_1360,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_03,W_03,W_03,I_00,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_03,1,W_03,W_03,W_01,W_03
W_03,W_03,W_01,W_01,1,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,1,W_01,W_01,W_03,W_03
W_03,W_01,W_01,W_03,1,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,1,W_03,W_01,W_01,W_01
W_01,W_03,W_03,W_01,1,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_03,I_03,W_01,W_03,1,W_01,W_01,W_03,W_01
W_01,W_01,W_01,W_03,4,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,M_1363,W_03,W_03,M_1361,W_03,W_03,W_01,W_03
W_01,W_03,1,M_1364,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,M_1362,1,1,1,1,1,1,1,I_01,1,6,1,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,I_03,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_03
W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_01
