0,0,0,0,0,0,0,0,0,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_03
0,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_03,1,1,1,1,I_03,1,1,W_03,W_03,W_01,1,1,1,1,1,W_01,W_01
W_01,W_01,1,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,W_03,1,M_1644,1,1,1,W_01,W_03
W_03,W_03,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,M_1642,1,1,1,1,1,1,W_03,W_03
W_03,W_03,1,1,1,1,1,W_01,W_03,W_03,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_03,W_01
W_01,W_03,W_03,W_01,1,W_01,W_03,W_01,W_01,W_03,1,1,1,1,1,1,1,W_03,W_03,W_01,1,I_01,1,1,1,W_03,W_01
W_03,W_03,W_01,W_03,1,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,M_1643,W_03,W_03,W_01,W_01,W_01,W_01,W_03,4,W_03,W_03,W_03,W_03
W_01,W_03,W_01,W_03,1,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,I_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,1,W_01,W_01,W_03,W_01
W_03,W_03,W_01,W_03,M_1641,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,1,W_03,W_03,W_01,W_03
W_03,W_01,W_01,W_03,1,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,1,W_01,W_01,W_03,W_01
W_03,1,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,W_03,W_01,W_01,I_02,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,M_1640,1,1,I_00,1,11,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,W_01,1,15,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,1,W_03,W_03,W_03,W_03
W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_01,1,W_01,W_03,W_03,W_01
W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,1,W_01,W_03,W_03,W_03
W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_01,1,W_01,W_01,W_03,W_03
W_03,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,1,1,I_03,1,1,W_03,W_03,W_03,W_03,W_01,W_03,1,W_01,W_01,W_01,W_03
W_03,W_03,1,1,1,1,1,W_01,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,I_03,1,1,W_03
W_01,W_01,1,I_06,1,1,E_04,B_903,I_09,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,W_01
W_03,W_01,14,1,1,1,1,W_01,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_03
W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_03,1,1,1,1,1,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03
W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_01
