0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01
0,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,1,1,1,1,14,1,1,W_01
W_01,W_02,1,1,1,1,1,W_01,W_02,W_01,W_01,1,1,I_03,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_02
W_02,W_01,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,I_09,1,1,1,1,1,1,1,W_02
W_02,W_02,1,1,1,1,1,W_01,W_01,W_01,W_02,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,1,1,W_01
W_02,W_02,W_02,W_01,1,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,W_01,W_02,1,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02
W_01,W_01,W_02,W_01,1,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,I_03,W_02,W_02,W_01
W_01,W_01,W_01,W_02,1,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_02,M_1763,W_01,W_01,W_02
W_02,W_01,W_01,W_02,1,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,W_02,1,1,1,1,I_02,W_01,W_02,W_01,1,1,1,11,1,1,1,M_1760,1,1,1,1,1,1,1,1,W_01
W_01,W_02,I_03,1,1,1,1,W_02,W_02,W_01,1,1,1,1,I_00,1,15,W_02,W_01,1,1,1,1,1,1,1,W_02
W_02,W_02,W_01,W_01,1,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,W_01,W_02,W_02,1,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,M_1761,W_02,W_02,W_02,W_02
W_01,W_02,W_02,W_02,4,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,1,W_01,W_01,W_01,W_02
W_02,W_01,W_02,W_01,1,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,1,W_02,W_02,W_01,W_02
W_02,W_02,W_01,W_02,1,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,1,W_01,W_01,W_02,W_01
W_02,W_01,I_01,1,1,I_03,1,W_02,W_02,W_01,W_01,1,1,1,1,M_1764,W_02,W_02,W_01,W_02,1,1,1,1,1,W_01,W_02
W_01,W_01,1,1,1,1,1,M_1762,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,W_01,W_02
W_01,W_02,1,1,1,1,1,W_01,W_02,W_02,W_02,1,1,1,1,1,W_02,W_01,W_02,W_01,1,1,1,1,1,W_02,W_02
W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01
W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01
