0,0,0,0,0,0,0,0,0,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_01
W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,W_01,W_01
W_01,1,1,1,1,1,1,1,W_03,W_01,M_1563,1,1,1,1,1,1,W_01,W_03,W_03,1,1,1,1,1,W_03,W_01
W_03,1,1,1,1,1,1,1,M_1561,1,1,1,1,1,1,1,1,M_1560,1,1,1,1,11,1,1,W_01,W_01
W_01,1,1,1,1,1,1,1,W_03,W_01,I_00,1,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,W_03,W_03
W_03,W_01,W_03,W_03,1,W_01,W_03,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03,W_01,W_01,1,1,1,15,1,W_01,W_03
W_01,W_01,W_03,W_03,1,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_03,W_01
W_01,W_03,W_03,W_01,1,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03
W_01,W_03,W_01,W_03,3,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01
W_01,W_03,1,1,1,1,1,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_03,1,1,1,I_03,1,1,1,W_03
W_01,W_01,1,1,1,1,1,W_03,W_01,W_01,W_01,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_03,1,I_03,1,1,1,W_03,W_01,W_01,W_01,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,W_01
W_03,W_01,1,1,1,1,1,W_03,W_03,W_03,W_03,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_01,W_01,W_01,W_01,W_03,W_03,1,W_01,W_03,W_01,W_03,W_03,1,1,1,1,1,1,1,W_03
W_03,W_01,W_03,W_03,1,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_03,1,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,1,W_03,W_01,W_03,W_01
W_01,W_01,W_01,W_03,M_1562,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_01,1,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,1,W_03,W_01,W_03,W_01
W_01,W_03,W_01,W_01,1,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_03,1,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_01,1,W_01,W_01,W_01,W_03
W_01,W_01,1,1,1,1,1,W_01,W_03,W_01,W_03,W_01,W_03,1,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,I_11,W_01,W_03,W_03,W_01
W_03,W_03,M_1564,I_01,1,1,1,W_01,W_03,W_03,I_02,1,1,I_03,1,1,1,W_01,W_03,1,1,1,1,1,1,14,W_03
W_03,W_03,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,3,W_03,W_03,W_01,W_03,W_01
W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,I_11,W_01,W_01,W_03,W_01,W_01
