0,0,0,0,0,0,0,0,0,0,W_02,W_03,W_02,W_03,W_02,W_03,W_02,W_02,W_02,W_03,W_03,W_02,W_02,W_03,W_02,W_03,W_02
0,W_03,W_02,W_02,W_02,W_03,W_02,W_03,W_02,W_02,W_02,1,1,1,1,1,W_03,W_03,W_02,W_03,1,1,1,1,1,W_02,W_03
W_02,W_03,1,1,1,1,I_02,W_02,W_02,W_02,W_03,1,1,1,1,1,W_02,W_02,W_03,W_02,14,1,1,1,1,W_03,W_03
W_02,W_02,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,I_10,I_03,1,1,1,1,W_02,W_02
W_03,W_02,1,1,1,1,1,W_02,W_02,W_02,W_03,1,1,1,1,1,W_02,W_03,W_02,W_03,1,1,1,1,1,W_02,W_03
W_03,W_02,W_02,W_02,1,W_03,W_03,W_03,W_02,W_03,W_03,1,1,1,1,1,W_02,W_02,W_03,W_02,1,1,1,1,1,W_02,W_03
W_02,W_03,W_02,W_02,1,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_03,W_02,4,W_03,W_03,W_03,W_03,W_02,W_02,W_03,W_02,W_02,W_02,W_02,W_03
W_02,W_02,W_03,W_02,1,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_02,W_02,I_10,W_03,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_02,W_02,W_02,W_03
W_03,W_02,W_03,W_03,1,W_02,W_03,W_03,W_02,W_03,W_03,W_02,W_03,W_03,W_03,W_03,W_02,W_02,W_03,W_03,W_03,W_02,W_03,W_03,W_02,W_02,W_03
W_02,W_03,W_03,W_02,1,W_03,W_03,W_02,W_03,W_02,1,1,1,1,1,1,1,W_02,W_02,W_02,W_03,W_02,W_03,W_02,W_03,W_03,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_03
W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,I_00,1,M_1169,1,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,M_1171,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_03
W_02,W_02,W_02,W_03,4,W_02,W_02,W_03,W_03,W_03,1,1,1,1,1,1,1,W_03,W_02,W_02,W_03,W_02,1,W_03,W_02,W_03,W_02
W_02,W_03,W_03,W_02,1,W_02,W_02,W_03,W_02,W_02,W_03,W_03,W_03,3,W_02,W_03,W_03,W_03,W_02,W_02,W_03,W_03,1,W_02,W_03,W_02,W_02
W_03,W_02,W_03,W_02,1,W_03,W_02,W_03,W_03,W_03,W_03,W_03,W_02,1,W_03,W_02,W_03,W_03,W_03,W_03,W_02,W_03,M_1168,W_03,W_02,W_02,W_02
W_03,W_03,W_03,W_03,1,W_03,W_02,W_03,W_02,W_02,W_03,W_03,W_02,1,W_02,W_02,W_03,W_03,W_03,W_02,W_03,W_02,1,W_03,W_02,W_03,W_02
W_02,W_03,W_02,W_02,1,W_03,W_02,W_02,W_03,W_03,W_02,W_03,W_03,1,W_03,W_02,W_02,W_02,W_03,W_03,W_03,W_02,1,W_03,W_02,W_03,W_02
W_02,W_03,1,1,1,1,I_01,W_03,W_02,W_03,W_03,1,1,1,1,1,W_02,W_03,W_03,1,1,1,1,15,1,1,W_02
W_03,W_02,1,1,1,1,1,1,1,M_1170,1,1,1,1,1,1,W_02,W_03,W_03,1,1,1,11,1,1,1,W_02
W_02,W_03,1,1,I_03,1,1,W_03,W_03,W_03,W_03,1,1,M_1172,1,1,W_03,W_03,W_02,1,1,1,1,1,1,1,W_03
W_03,W_03,W_02,W_02,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_02,W_02,W_02,W_02,W_03,W_02,W_03,W_02,W_02,W_02,W_02,W_02
W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_03,W_03,W_02,W_02,W_03,W_02,W_03,W_02,W_03,W_03,W_03,W_02,W_03,W_02,W_03,W_02,W_03,W_02,W_02,W_02
