0,0,0,0,0,0,0,0,0,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02
0,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_01,I_02,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01
W_01,W_02,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02,W_01,W_02,M_1100,1,1,1,1,W_01,W_01
W_01,W_02,1,1,1,1,1,1,1,1,1,1,1,1,I_03,1,1,7,1,1,1,1,1,1,1,W_02,W_02
W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_02,W_01
W_01,W_02,W_02,W_01,1,W_02,W_01,W_02,W_01,W_01,1,1,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,W_01,W_01
W_02,W_02,W_02,W_02,1,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,M_1098,W_02,W_01,W_01,W_02
W_01,W_01,W_02,W_02,1,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,1,W_02,W_02,W_02,W_01
W_01,W_02,W_01,W_01,5,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,I_00,W_02,W_02,W_02,W_01,W_01,1,W_02,W_01,W_01,W_02
W_01,1,1,1,1,1,1,1,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,M_1099,W_01,W_02,1,1,1,1,1,I_03,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,11,1,1,1,W_02,W_02,1,1,I_01,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,15,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,W_01,W_01,W_01,1,W_02,W_02,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02
W_02,W_02,W_01,W_02,1,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_01,M_1096,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,3,W_01,W_02,W_02,W_01
W_01,W_02,W_01,W_02,1,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,1,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,1,W_02,W_02,W_01,W_02
W_01,W_02,W_02,W_01,I_10,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,1,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,1,W_02,W_02,W_01,W_02
W_01,1,1,1,1,14,1,1,W_02,W_01,W_02,W_02,W_01,1,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,1,W_02,W_02,W_02,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,M_1097,1,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_02,W_02,1,1,I_00,1,1,W_01,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,I_03,1,1,1,1,1,1,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02
W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01
