0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_03
0,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_03,1,1,M_1380,1,1,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01
W_01,W_01,1,1,1,1,1,W_03,W_01,W_01,W_01,1,1,1,1,1,W_01,W_01,W_03,W_03,1,1,1,1,1,W_01,W_01
W_01,W_01,1,1,1,1,1,1,1,1,6,1,1,I_01,1,1,1,1,M_1378,1,1,1,1,1,1,W_03,W_01
W_03,W_03,1,1,1,1,1,W_01,W_03,W_01,W_01,1,1,I_03,1,1,W_01,W_01,W_03,W_01,1,1,1,1,1,W_01,W_03
W_03,W_03,W_03,W_03,1,W_03,W_01,W_01,W_01,W_03,W_03,1,1,1,1,1,W_01,W_03,W_03,W_01,W_01,W_01,1,W_01,W_03,W_01,W_01
W_03,W_01,W_01,W_03,1,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,4,W_01,W_03,W_03,W_01
W_03,W_03,W_01,W_01,1,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_01,1,W_03,W_01,W_01,W_01
W_01,W_01,W_03,W_01,1,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_03,1,W_03,W_03,W_01,W_03
W_01,W_03,W_03,W_01,M_1377,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_03,W_01,1,1,1,1,I_03,W_01,W_01
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,W_01,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_01,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,I_02,1,W_01,W_03,W_01,1,1,1,1,1,W_01,W_03
W_03,W_03,W_01,W_01,M_1376,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_03,1,W_01,W_03,W_03,W_03,W_01,W_01,1,1,1,1,1,W_01,W_01
W_03,W_01,W_01,W_01,1,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,1,W_01,W_03,W_03,W_01,W_03,W_01,W_01,M_1379,W_03,W_01,W_03,W_03,W_03
W_01,W_03,W_01,W_01,1,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,5,W_03,W_01,W_01,W_01,W_03,W_01,W_03,I_03,W_03,W_01,W_01,W_03,W_01
W_03,W_03,W_01,W_03,1,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,1,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_03
W_03,1,1,1,1,1,1,15,W_03,W_01,W_01,W_03,W_03,1,W_03,W_03,W_03,W_01,W_01,W_01,1,1,1,1,1,W_01,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01,W_01,W_03,1,1,1,1,1,W_01,W_01
W_01,1,1,1,11,1,1,1,W_01,W_01,1,1,1,I_03,1,1,1,1,1,I_09,1,1,1,1,1,W_03,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_03,W_01
W_01,1,I_00,1,1,1,1,1,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,14,1,1,1,1,W_03,W_03
W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03
