0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02
0,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,1,1,1,1,1,1,1,W_02
W_01,W_02,1,1,I_02,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_01,W_02,1,I_03,1,1,1,I_01,1,W_02
W_02,W_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,W_02
W_02,W_02,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_02,W_02,W_02,W_02,1,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02
W_01,W_01,W_02,W_01,5,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,M_1730,W_02,W_02,W_01,W_02
W_01,W_02,W_02,W_02,1,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,1,W_02,W_01,W_02,W_01
W_01,W_01,W_01,W_01,1,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,1,W_02,W_02,W_02,W_01
W_01,W_01,W_02,W_01,1,W_02,W_01,W_02,W_01,W_02,15,1,1,1,1,1,1,W_01,W_02,W_02,W_02,W_02,1,W_01,W_02,W_02,W_01
W_02,W_01,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,1,1,W_02,W_01,W_02,1,1,1,M_1732,1,W_02,W_01
W_02,W_01,1,1,1,1,1,W_01,W_02,W_01,1,1,1,11,M_1731,1,1,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02
W_02,W_01,1,1,1,1,1,W_02,W_01,W_02,1,1,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,W_01,W_02
W_01,W_01,W_01,W_01,1,W_02,W_01,W_02,W_02,W_02,1,1,1,1,1,I_00,1,W_02,W_02,W_01,W_01,W_01,1,W_02,W_02,W_01,W_02
W_01,W_01,W_01,W_01,1,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,M_1728,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,1,W_01,W_02,W_02,W_01
W_01,W_01,W_01,W_02,1,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,1,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,1,W_01,W_02,W_01,W_02
W_01,W_01,W_02,W_02,1,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_01,1,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,1,W_02,W_02,W_01,W_01
W_02,W_01,W_01,W_01,I_11,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,1,W_01,W_01,W_01,W_01,W_02,W_02,W_02,W_02,3,W_01,W_02,W_01,W_02
W_01,W_01,1,1,I_03,1,1,W_01,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01,W_02,W_02,1,1,1,1,1,W_02,W_02
W_02,W_02,1,1,1,1,1,W_02,W_01,W_02,W_01,1,1,1,1,1,M_1729,1,1,1,1,1,1,1,1,W_01,W_02
W_01,W_02,14,1,1,1,1,W_01,W_02,W_01,W_02,1,1,1,1,1,W_01,W_01,W_01,W_02,1,1,1,1,1,W_01,W_01
W_02,W_01,W_02,W_01,W_02,5,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_01
W_01,W_02,W_01,W_02,W_02,I_09,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_02
