,,,,,2,2,2,,,,,,,,,,
,,,,,2,9,2,,,,,,,,,,
,,,,,2,1,2,,,,,,,,,,
,,2,2,2,2,M_04,2,,,,,,,,,,
,,2,1,1,M_03,1,2,2,2,2,2,2,,,,,
,,2,13,2,2,2,2,1,1,I_03,1,2,2,2,2,2,
,,2,1,1,1,1,M_02,1,2,2,1,1,1,1,1,2,2
,,2,1,I_03,I_03,1,2,1,2,2,1,2,2,2,1,1,2
,,2,1,I_03,I_03,1,2,1,1,1,1,2,2,2,1,1,2
,,2,1,2,2,2,2,1,1,2,2,2,2,2,M_00,M_00,2
,,2,I_04,M_00,1,1,1,1,1,2,2,2,2,1,1,1,2
2,2,2,2,1,1,M_01,1,2,1,2,2,2,2,3,2,2,2
2,1,1,1,1,1,1,1,2,1,M_04,M_04,I_00,2,1,1,1,2
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,M_02,1,2
2,1,2,M_00,1,1,1,M_00,1,1,1,1,1,1,2,I_04,1,2
2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,M_04,2
2,1,M_01,1,2,,,,,,2,1,1,1,2,12,1,2
2,2,2,2,2,,,,,,2,1,1,1,2,2,2,2
,,,,,,,,,,2,1,1,1,2,,,
,,,,,,,,,,2,1,1,1,2,,,
,,,,,,,,,,2,1,1,1,2,,,
,,,,,,,,,,2,1,1,1,2,,,
,,,,,,,,,,2,1,11,1,2,,,
